archivo,tipo documental,proveedor,tax ID proveedor,número,fecha de emisión,vencimiento,moneda,importe neto,tipo IVA,importe IVA,importe total,referencia OC,ruta PO/non-PO,confianza,estado,advertencias
02. REMOTE 2026-05-Invoice-050IN26048878-Brand up slu,invoice,Remote Europe Holding BV,***********B01,050IN26048878,2026-05-01,2026-05-15,EUR,14234.03,0,0.00,14234.03,,non-PO,0.88,Procesado,baja confianza en: importe_neto
03. CABIFY invoice-ESP26F98358,invoice,"Cabify España, S.L.U",********823,ESP26F98358,2026-05-01,2026-04-30,EUR,303.99,10,30.40,334.39,,non-PO,0.86,Procesado,
04. GESMAR P-07-2026 BMC,proforma_or_advance_request,GESMAR GESTIÓN Y MARKETING S.L (Sociedad Unipersonal),******583,,2026-05-04,,EUR,,,,1320.00,,non-PO,1.0,Revisar campos,
04. Orden de Compra EURE 1583 - PRETEST QUAL. POPEYES. Gesmar Incent,other,GESMAR,,,2026-05-05,,EUR,,,,1320.00,EURE 1583,PO,1.0,Documento no reconocido,
05. DYNATA ES01-ARIV-0010205,invoice,Dynata Global Spain S.L.U,******348,ES01-ARIV-0010205,2026-04-30,,EUR,17410.00,21,3656.10,21066.10,,non-PO,0.84,Procesado,baja confianza en: cliente_nombre
06. OPEN ENDS Facture_000178_OPENENDS_INSIGHT_BRAND_UP_SLU,invoice,SASU OPEN-ENDS INSIGHT,**********621,178,2026-05-05,,EUR,4200.00,0,0.00,4200.00,,non-PO,0.87,Procesado,
06. Orden de Compra EUBR 1529 - MUSHU. Judit.,other,JUDIT AUZIOL - OPEN ENDS,,,2026-05-05,,EUR,,,,4200.00,EUBR 1529,PO,1.0,Documento no reconocido,
07. ECOTISA Factura_FV_2026_05_000945,invoice,ECOTISA UNA TINTA DE IMPRESION S.L.U,******448,FV/2026/05/000945,2026-05-05,2026-05-05,EUR,36.68,21,7.70,44.38,PV892828,PO,0.87,Procesado,
08. REDECOM F057BrandUP,invoice,"Redecom, Soluciones Informáticas para Empresas S.L.L",******428,F057,2026-05-06,,EUR,1217.14,21,255.60,1472.74,,non-PO,0.94,Procesado,
09. REDECOM SL F056BMC_M365_SL,invoice,"Redecom, Soluciones Informáticas para Empresas S.L.L",******428,F056,2026-05-06,,EUR,118.08,21,24.80,142.88,,non-PO,0.94,Procesado,
10. REDECOM EMEA F055BMC_M365_EMEA,invoice,"Redecom, Soluciones Informáticas para Empresas S.L.L",******428,F055,2026-05-06,,EUR,161.96,21,34.01,195.97,,non-PO,0.94,Procesado,
GD-101,invoice,Servicios Alcor SL,******111,AL-2026-0101,2026-06-02,2026-07-02,EUR,950.00,21,199.50,1149.50,,non-PO,0.88,Procesado,hay datos bancarios visibles pero no se pudieron estructurar
GD-102,invoice,Insumos Bravo SA,******222,BR-88712,2026-06-03,2026-07-03,EUR,4200.00,21,882.00,5082.00,PO-2026-201,PO,0.86,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-103,invoice,Catering Delta SL,******333,CD/2026/077,2026-06-04,2026-06-19,EUR,310.40,10,31.04,341.44,,non-PO,0.91,Procesado,hay datos bancarios visibles pero no se pudieron estructurar
GD-104,invoice,Logistica Echo SL,******444,LE-2026-3401,2026-06-05,2026-07-05,GBP,1800.00,21,378.00,2178.00,PO-2026-202,PO,0.83,Procesado,baja confianza en: cliente_nombre
GD-105,invoice,Estudio Foxtrot SLP,******555,EF-2026-045,2026-06-08,2026-07-08,EUR,2500.00,21,525.00,3025.00,,non-PO,0.87,Revisar campos,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-106,invoice,Estudio Foxtrot SLP,******555,EF-2026-045,2026-06-10,2026-07-08,EUR,2500.00,21,525.00,3025.00,,non-PO,0.87,Revisar campos,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-107,invoice,Estudio Foxtrot SLP,******555,EF-2026-046,2026-06-11,2026-07-11,EUR,2500.01,21,525.00,3025.01,,non-PO,0.83,Procesado,"hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: numero_factura, cliente_nombre"
GD-108,invoice,Estudio Foxtrot SLP,******555,EF-2026-045,2026-06-12,2026-07-08,EUR,2500.00,21,525.00,3025.00,,non-PO,0.83,Revisar campos,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: importe_neto
GD-109,invoice,Nubia Cloud Services SL,******783,NB-26-0701,2026-06-15,2026-07-15,EUR,7719.01,21,1620.99,9340.00,PO-2026-117,PO,0.84,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-110,invoice,Nubia Cloud Services SL,******783,NB-26-0702,2026-06-16,2026-07-16,EUR,1200.00,21,252.00,1452.00,PO-2026-117,PO,0.85,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-111,invoice,TalentBridge Seleccion SL,******666,TB-260140,2026-06-17,2026-07-17,EUR,6198.35,21,1301.65,7500.00,PO-2026-999,PO,0.9,Procesado,hay datos bancarios visibles pero no se pudieron estructurar
GD-112,invoice,TalentBridge Seleccion SL,******666,TB-260141,2026-06-18,2026-07-18,EUR,3000.00,21,630.00,3630.00,PO-2026-203,PO,0.85,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-113,invoice,Mobiliario Golf SL,******777,MG-2026-0201,2026-06-19,2026-07-19,EUR,5082.64,21,1067.35,6149.99,PO-2026-204,PO,0.87,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-114,invoice,Mobiliario Golf SL,******777,MG-2026-0202,2026-06-20,2026-07-20,EUR,4020.00,21,844.20,4864.20,PO-2026-205,PO,0.87,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-115,invoice,Facturar a: Meridia Consulting SL,******000,HN-2026-001,2026-06-22,2026-07-22,EUR,890.00,21,186.90,1076.90,,non-PO,0.9,Revisar campos,el proveedor extraido coincide con la empresa propia: posible confusion emisor/receptor | hay datos bancarios visibles pero no se pudieron estructurar
GD-116,proforma_or_advance_request,"Facturar a: Meridia Consulting SL · NIF B00000000 · Paseo Imaginario 123, 28000 Madrid",******888,,2026-06-23,,EUR,,0,0.00,5000.00,,non-PO,1.0,Revisar campos,
GD-117,invoice,Lima Suscripciones SL,******999,LS-2026-0500,2026-06-24,,EUR,180.00,21,37.80,217.80,,non-PO,0.91,Procesado,
GD-118,invoice,Meridia Advisory Mexico SA,******001,MX-2026-0701,2026-06-25,2026-07-25,USD,5600.00,0,0.00,5600.00,PO-2026-206,PO,0.74,Procesado,"baja confianza en: numero_factura, cliente_nombre, importe_iva"
GD-119,invoice,Servicios Alcor SL,******111,NC-2026-0012,2026-06-26,,EUR,-250.00,21,-52.50,-302.50,,non-PO,0.78,Procesado,"hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: numero_factura, cliente_nombre, importe_iva"
GD-120,proforma_or_advance_request,"Facturar a: Meridia Consulting SL · NIF B00000000 · Paseo Imaginario 123, 28000 Madrid",******212,,2026-06-27,,EUR,,21,2099.79,12098.79,,non-PO,1.0,Revisar campos,
GD-121,invoice,"Quebec & Asociados, S.L.U",******313,Q/26-77-A,2026-06-29,2026-07-29,EUR,1450.75,21,304.66,1755.41,,non-PO,0.8,Procesado,"hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: numero_factura, cliente_nombre"
GD-122,invoice,Romeo Servicios Integrales SL,******414,RSI-2026-000123,2026-06-30,2026-08-29,EUR,12345.67,21,2592.59,14938.26,,non-PO,0.85,Procesado,hay datos bancarios visibles pero no se pudieron estructurar | baja confianza en: cliente_nombre
GD-011,invoice,Bradley-Andrade,******194,97159829,2015-09-18,,USD,889.20,10,88.92,978.12,,non-PO,0.82,Procesado,"baja confianza en: importe_neto, importe_iva"
GD-012,invoice,"Hopkins & Sons, Inc.",******223,13194726,2021-05-29,,USD,581.93,10,58.19,640.12,,non-PO,0.81,Procesado,"baja confianza en: proveedor_nombre_comercial, importe_neto"
GD-013,invoice,Trujillo-Hunt,******540,62517865,2015-06-02,,USD,8.50,10,0.85,9.35,,non-PO,0.83,Procesado,"baja confianza en: importe_iva, moneda"
GD-014,invoice,Nichols-Barajas,******813,56014042,2014-10-01,,USD,59.50,10,5.95,65.45,,non-PO,0.84,Procesado,baja confianza en: importe_neto
GD-015,invoice,Smith-Cook,******124,16662010,2016-08-28,,USD,2053.73,10,205.37,2259.10,,non-PO,0.78,Procesado,"baja confianza en: importe_neto, importe_iva"
GD-016,invoice,Kaiser,******083,27543706,2020-07-20,,USD,44364.64,10,4436.46,48801.10,,non-PO,0.84,Procesado,baja confianza en: importe_iva
GD-017,invoice,Smith Ltd,******743,26343874,2013-07-17,,USD,3172.99,10,317.30,3490.29,,non-PO,0.83,Procesado,baja confianza en: importe_iva
GD-018,invoice,"Gregory, Patterson and Fischer",******606,12222347,2017-03-18,,AUD,123.75,10,12.38,136.13,,non-PO,0.77,Revisar campos,"baja confianza en: importe_neto, importe_iva"
GD-019,invoice,"Gordon, Alvarado and Jones",******794,25698672,2015-08-01,,USD,115.45,10,11.55,127.00,,non-PO,0.78,Procesado,"baja confianza en: proveedor_nombre_comercial, importe_neto, importe_iva"
