doc_id,fuente,campo,esperado,extraido,veredicto,confianza,estado,resultado_esperado,caso_borde,control_esperado
GD-001,real,tipo_doc,invoice,invoice,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,proveedor,DYNATA GLOBAL SPAIN,DYNATA GLOBAL SPAIN,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,nif,B-84552348,******348,correcto_enmascarado,0.84,Revisar campos,en_lote,no,
GD-001,real,numero,ES01-ARIV-0010205,ES01-ARIV-0010205,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,fecha_emision,2026-04-30,2026-04-30,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,fecha_vencimiento,2026-05-30,,faltante,0.84,Revisar campos,en_lote,no,
GD-001,real,moneda,EUR,EUR,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,importe_total,21066.1,21066.1,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,iva,3656.1,3656.1,correcto,0.84,Revisar campos,en_lote,no,
GD-001,real,oc,ORD-1796742-G6C4-ES01,,faltante,0.84,Revisar campos,en_lote,no,
GD-002,real,tipo_doc,invoice,invoice,correcto,0.86,Procesado,en_lote,no,
GD-002,real,proveedor,CABIFY ESPANA,CABIFY ESPANA,correcto,0.86,Procesado,en_lote,no,
GD-002,real,nif,ESB86261823,********823,correcto_enmascarado,0.86,Procesado,en_lote,no,
GD-002,real,numero,ESP26F98358,ESP26F98358,correcto,0.86,Procesado,en_lote,no,
GD-002,real,fecha_emision,2026-05-01,2026-05-01,correcto,0.86,Procesado,en_lote,no,
GD-002,real,fecha_vencimiento,,2026-04-30,alucinado,0.86,Procesado,en_lote,no,
GD-002,real,moneda,EUR,EUR,correcto,0.86,Procesado,en_lote,no,
GD-002,real,importe_total,334.39,334.39,correcto,0.86,Procesado,en_lote,no,
GD-002,real,iva,30.4,30.4,correcto,0.86,Procesado,en_lote,no,
GD-002,real,oc,,,correcto,0.86,Procesado,en_lote,no,
