doc_id,fuente,resultado_esperado,control_esperado,run2_route,run3_replay_route,formal_scope,formal_route_correct,duplicate_signal,review_reasons
GD-001,real,en_lote,,en_lote,en_lote,si,si,no,
GD-002,real,en_lote,,en_lote,en_lote,si,si,no,
GD-003,real,en_lote,,en_lote,en_lote,si,si,no,
GD-004,real,revision_humana,C8_ANTICIPO_SIN_FACTURA_FINAL,revision_humana,revision_humana,si,si,no,proforma / anticipo: requiere autorización humana para pago
GD-005,real,en_lote,,en_lote,en_lote,si,si,no,
GD-006,real,en_lote,,en_lote,en_lote,si,si,no,
GD-007,real,en_lote,,en_lote,en_lote,si,si,no,
GD-008,real,en_lote,,en_lote,en_lote,si,si,no,
GD-011,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-012,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-013,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-014,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-015,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-016,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-017,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-018,publica,en_lote,,revision_humana,en_lote,si,si,no,
GD-019,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-020,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-021,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-022,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-023,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-024,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-025,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-026,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-027,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-028,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-029,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-030,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-031,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-032,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-033,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-034,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-035,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-036,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-037,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-038,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-039,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-040,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-041,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-042,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-043,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-044,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-045,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-046,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-047,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-048,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-049,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-050,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-051,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-052,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-053,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-054,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-055,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-056,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-057,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-058,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-059,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-060,publica,en_lote,,revision_humana,revision_humana,si,no,no,proveedor y cliente no pueden ser la misma entidad
GD-061,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-062,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-063,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-064,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-065,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-066,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-067,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-068,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-069,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-070,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-071,publica,en_lote,,en_lote,en_lote,si,si,no,
GD-072,publica,en_lote,,en_lote,en_lote,si,si,no,
